,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,MPATH_HYBRID CNOTs,MPATH_HYBRID Depth,MPATH_HYBRID Time,MPATH_HYBRID SABRE Uptime,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std.",A* CNOTs,A* Depth,A* Time
decod24-v1_41.qasm,54,110,0.04517671799999334,57,79,0.4303341199999977,57,79,0.6815426109999407,0.02,0.76,0.47159304490206383,1.3513513513513513,1.4743980212957686,51,102,0.00785844899996846
4gt12-v0_88.qasm,144,260,0.1563300950000439,111,198,1.3411646529999643,111,194,1.2777928809999821,0.0,0.7962962962962963,0.5047782655718152,1.4470588235294117,2.020517594449741,114,217,0.01879279900003894
rd53_138.qasm,102,134,0.1233734900000627,81,114,4.365876483999955,102,134,0.0993763689999696,1.0,1.0714285714285714,0.6507452556531642,1.271186440677966,1.273331523457149,78,122,0.007994830000029651
4gt4-v0_79.qasm,165,312,0.08815665400004491,141,242,1.93762600499997,141,244,2.4709105240000326,0.0,0.7954545454545454,0.5036027228672805,1.4951456310679612,2.135569255901751,156,307,0.012435684000024594
alu-v3_34.qasm,36,66,0.02641625799992653,36,71,0.06632501100000354,39,68,0.045378286999948614,1.0,0.8,0.4,1.0,0.0,30,59,0.007132101000024704
decod24-v3_45.qasm,93,180,0.05362328399996841,81,151,0.6975629789999402,81,151,0.926973195999949,0.0,0.7619047619047619,0.5028264781414971,1.3968253968253967,1.5279375302995402,87,188,0.009996877000048698
4gt4-v0_80.qasm,129,234,0.07081338000000414,108,190,1.0966622280000138,111,182,0.7999633140000242,0.019801980198019802,0.7821782178217822,0.49958320045714316,1.5,2.2403639814170306,108,195,0.011156642999935684
mod8-10_178.qasm,243,460,0.13808627200000956,192,360,1.478334554000071,192,360,1.858443631,0.0,0.7875647668393783,0.510461314476697,1.56,2.342306555513176,222,415,0.015474945999926604
hwb4_49.qasm,159,311,0.08693781200008743,129,228,2.034443323000005,141,245,2.045982876000039,0.26119402985074625,0.7985074626865671,0.4853041936683316,1.3018867924528301,1.3187316041514376,129,270,0.009746024000037323
4mod5-bdd_287.qasm,51,91,0.025993682000034823,42,80,0.1382420559999673,42,80,0.18202174399993964,0.0,0.7560975609756098,0.4294345576014392,1.0,0.0,54,92,0.008944457999973565
decod24-v0_38.qasm,30,63,0.015666576999933568,27,54,0.09533715000009124,27,54,0.10971279700004288,0.0,0.7666666666666667,0.42295258468165065,1.0,0.0,27,55,0.006189713000026131
4gt4-v1_74.qasm,189,346,0.10223179600006915,156,255,2.022152138000024,177,280,1.6377484660000619,0.032467532467532464,0.7727272727272727,0.4904639636566674,1.4915254237288136,2.0901129752608196,162,310,0.017185355000037816
4gt12-v0_87.qasm,162,305,0.0942618430000266,138,237,1.8867669120000983,150,267,1.216069687000072,0.24427480916030533,0.8549618320610687,0.567869157660986,1.4545454545454546,1.9662440597441966,162,327,0.012034368000058748
4gt12-v0_86.qasm,174,295,0.09836855000003197,138,245,6.690644933000044,144,250,1.2931463740000027,0.26666666666666666,0.8592592592592593,0.5599333685619039,1.434782608695652,1.9252574521577228,168,335,0.011976124999932836
