,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Memory,ForeSight CNOTs,ForeSight Depth,ForeSight Time,ForeSight Memory,ForeSight SSOnly CNOTs,ForeSight SSOnly Depth,ForeSight SSOnly Time,ForeSight SSOnly Memory,A* CNOTs,A* Depth,A* Time,A* Memory
sym9_146.qasm,148,397,343,0.6230883810021624,662.92578125,349,282,364.7286507680001,35752.0341796875,394,320,24.124948403001326,1846.787109375,355,345,0.017340043999865884,8.4599609375
alu-v4_36.qasm,51,129,148,0.17466625400265912,233.9306640625,114,132,18.623390012999153,7719.5224609375,120,136,1.0144465890007268,618.4130859375,117,130,0.010305051997420378,5.107421875
alu-bdd_288.qasm,38,95,105,0.12917080400075065,175.806640625,92,96,31.573148700001184,18515.564453125,92,101,0.8237214609980583,659.8212890625,98,107,0.010564746000454761,4.7353515625
4gt5_75.qasm,38,95,103,0.14343745199948899,174.96484375,83,94,19.45720343799985,14152.31640625,83,91,0.6179584080018685,449.49609375,86,95,0.011300693997327471,4.5517578125
alu-v2_32.qasm,72,189,215,0.25801665999824763,304.548828125,165,194,53.737107257999014,24823.8037109375,171,195,2.1400694379990455,300.1171875,168,204,0.012759490000462392,5.8369140625
qft_16.qasm,240,486,368,0.8637506619998021,894.6328125,630,284,1649.8692918650013,714718.82421875,819,399,131.23917060200256,65749.78125,510,324,0.05338573699918925,12.8447265625
decod24-v2_43.qasm,22,55,67,0.08959495499948389,107.751953125,49,61,0.785070004996669,700.453125,49,61,0.21523506700032158,203.2373046875,49,61,0.009483340003498597,4.17578125
cnt3-5_180.qasm,215,623,549,1.0473517809987243,959.6494140625,542,446,939.3916627050021,111208.2880859375,584,503,46.30591484799879,3606.03515625,521,482,0.030815566999081057,10.91015625
sqrt8_260.qasm,1314,3588,3737,7.82900192300076,5683.1865234375,3216,3508,2873.185424481002,378107.70703125,3468,3699,101.18173779000062,21710.2724609375,3450,3574,0.12838546500279335,51.029296875
4gt13_92.qasm,30,75,76,0.1020329800012405,139.201171875,66,79,6.202314099995419,5084.7734375,75,85,0.6609571379958652,136.3203125,66,71,0.009373041997605469,4.2392578125
cnt3-5_179.qasm,85,241,161,0.3863622659991961,387.3564453125,238,153,315.91138857199985,54783.4931640625,241,157,11.59770471000229,1894.482421875,238,173,0.017757590998371597,6.37109375
ex2_227.qasm,275,740,847,1.0554065680044005,1230.9580078125,650,740,197.1121058389981,45912.1455078125,701,791,8.492934633002733,3450.6826171875,653,737,0.025968248999561183,12.779296875
rd73_140.qasm,104,257,213,0.37431669200304896,418.296875,245,200,299.63282411999535,410.84765625,254,210,15.89760765099345,1315.111328125,245,197,0.01604476400098065,6.79296875
mod5d2_64.qasm,25,61,70,0.08581510099611478,114.0419921875,61,69,9.397142346999317,7449.541015625,61,68,1.019082973994955,963.857421875,58,65,0.008848698998917826,4.2392578125
wim_266.qasm,427,1156,1183,1.69821853099711,1921.017578125,1024,1079,681.3783021700001,76790.1669921875,1093,1140,26.49120121300075,4895.5556640625,1108,1170,0.04085558299993863,18.4248046875
rd53_133.qasm,256,661,719,0.9372433780008578,1115.95703125,589,655,302.9024200729982,54206.4228515625,643,722,16.290348119000555,2714.9482421875,607,646,0.024963054005638696,11.923828125
4gt4-v0_72.qasm,113,299,312,0.46339683000405785,512.2978515625,257,281,138.9376641889976,28472.2568359375,272,295,3.392712348002533,671.8330078125,266,297,0.014609571997425519,7.2666015625
