,size,depth,SABRE CNOTs,SABRE Depth,SABRE Time,MPATH_IPS CNOTs,MPATH_IPS Depth,MPATH_IPS Time,"Layer Density, mean","Layer Density, std.","Child Distance, mean","Child Distance, std."
518,300,82,717,453,0.33380583999996816,711,337,1.0870206720001079,0.6646706586826348,0.6530515971500909,2.590909090909091,4.394822272847601
519,300,82,933,443,0.44160585400004493,840,468,2.4917581789998167,0.6793478260869565,0.6918843273953198,2.69672131147541,5.557286376744713
520,300,81,732,481,0.3281071860001248,750,363,1.3124862200002099,0.6571428571428571,0.6986868148935704,2.982142857142857,6.274924790182666
521,300,75,894,500,0.42747547800036045,855,413,1.9671705589998965,0.6971428571428572,0.6967211839489776,3.2892561983471076,5.711287962496791
522,300,69,651,430,0.29096780600002603,675,318,1.3737114740001743,0.7272727272727273,0.7014651817049155,2.5,3.2107356679446166
523,300,80,753,450,0.33937309900011314,732,355,2.886163869000029,0.7215189873417721,0.7192948174772341,2.7027027027027026,4.218352427180855
524,300,77,702,429,0.4097441459998663,714,306,1.076687175999723,0.7,0.687386354243376,2.5871559633027523,3.512000421031698
525,300,92,957,556,0.41495593199988434,924,436,2.6979852819999905,0.6907216494845361,0.6940219661734777,2.2406015037593985,3.5670808518460526
526,300,58,567,373,0.28838089600003514,615,296,3.220952562999628,0.9074074074074074,0.7010182678054704,3.139784946236559,4.485559621166817
527,300,70,666,401,0.32282967799983453,651,315,1.175162506000106,0.7266187050359713,0.7277219347569376,2.826530612244898,4.361298978478216
528,300,78,708,498,0.400172350000048,702,345,1.9537452859999576,0.8120805369127517,0.7361164876883901,2.9491525423728815,6.047618185905385
529,300,64,672,436,0.3535595599996668,744,379,2.5262363099996037,0.8347107438016529,0.6472715454281412,2.5876288659793816,2.7121436620693307
530,300,85,681,422,0.3909495190000598,768,361,1.0457353659999171,0.5815217391304348,0.6625755654732468,2.548076923076923,3.8900262202307627
531,300,75,774,439,0.3840376829998604,798,337,1.2970678600004248,0.7891156462585034,0.6923419048104449,2.773913043478261,3.2034244436776724
532,300,92,882,592,0.48237354399998367,885,383,0.6613434450000568,0.6080402010050251,0.6074377180406663,2.0416666666666665,3.2051932685703823
533,300,51,546,292,0.2909427989998221,609,290,0.9651855150000301,0.9056603773584906,0.8071414957059411,3.150537634408602,3.7558448688266095
534,300,72,669,438,0.3038717489998817,738,378,2.2506997129999036,0.7006802721088435,0.7038762065168891,2.9393939393939394,4.8841491340870915
535,300,83,732,427,0.3451318689999425,636,352,0.9350665269998899,0.5968586387434555,0.6470153594042055,2.3893805309734515,5.014022157941559
536,300,73,846,455,0.37265687399985836,801,426,2.6430156819997137,0.7755102040816326,0.7075484009534578,2.544642857142857,3.5854079087948945
537,300,95,750,493,0.32117328300000736,729,354,1.264769879999676,0.6404494382022472,0.6225570866155087,1.9454545454545455,2.7297564448012364
538,300,101,933,559,0.4096181150002849,858,377,5.943914232999759,0.5904761904761905,0.5887070270676416,3.1475409836065573,6.837303815206334
539,300,60,642,432,0.43788091100032034,714,330,1.115719364999677,0.8031496062992126,0.7637389387705287,3.05,4.907901792008475
540,300,66,585,351,0.2889747780000107,633,293,0.8425808300003155,0.6940298507462687,0.7353302835968369,3.111111111111111,5.273507044008747
541,300,100,729,508,0.3302969939995819,831,373,0.9618917030002194,0.5530973451327433,0.6375521212717312,2.3983739837398375,4.813159193410475
542,300,91,708,502,0.29891107499997815,666,334,0.9486459669997203,0.5097087378640777,0.5723422431742288,1.9711538461538463,3.3496748716199503
543,300,72,795,428,0.3735538830001133,723,388,2.5344660850000764,0.7302631578947368,0.7068312790643266,2.7889908256880735,4.7022801310756135
544,300,86,828,528,0.38302512099971864,864,419,1.6967725209997297,0.6294416243654822,0.6290321248592758,2.7666666666666666,6.414480146945312
545,300,82,780,516,0.3336175250001361,768,414,1.1437355279999792,0.6193181818181818,0.646205349177632,2.5700934579439254,4.779457892719106
546,300,79,831,516,0.36968715700004395,804,340,0.9969574660003673,0.8026315789473685,0.7348422108128001,3.0833333333333335,6.326641201213239
547,300,91,741,473,0.34238133999997444,810,419,0.6859921260002011,0.568075117370892,0.6138576198565692,2.5833333333333335,4.420752826788165
548,300,60,573,347,0.3523601840001902,582,299,0.9026592410000376,0.782258064516129,0.7679096455477599,2.536842105263158,4.1796764576769245
549,300,77,819,399,0.3671410380002271,822,371,3.3272976399998697,0.7228915662650602,0.7332589905880935,3.2605042016806722,5.7693222077967965
550,300,65,654,360,0.3346352899998237,723,335,1.6804075290001492,0.8780487804878049,0.8703365002323666,2.5514018691588785,3.993531322937912
551,300,90,834,530,0.3724568470001941,753,330,1.0414748619996317,0.5989304812834224,0.6578192220184719,2.108108108108108,3.966870351386472
552,300,82,855,518,0.39006277199996475,906,413,1.2855385530001513,0.6823529411764706,0.6810332065132378,2.3628318584070795,4.629765083018877
