,Original CNOTs,SABRE CNOTs,SABRE Depth,SABRE Time,SABRE Consolidated Blocks,A* CNOTs,A* Depth,A* Time,A* Memory,A* Consolidated Blocks,ForeSight-D CNOTs,ForeSight-D Depth,ForeSight-D Time,ForeSight-D ALAP Proportion,ForeSight-D ASAP Proportion,ForeSight-D Consolidated Blocks,TKET CNOTs,TKET Depth,TKET Time,TKET Consolidated Blocks,qubits
4mod5-bdd_287.qasm,31.0,41.0,104.0,0.435,10.0,40.0,87.0,0.357,0.0,3.0,12.0,60.0,1.154,26.0,15.0,12.0,47.0,96.0,1.343,4.0,16.0
4gt11_84.qasm,9.0,7.0,21.0,0.075,1.0,33.0,48.0,0.255,0.0,2.0,2.0,14.0,0.196,7.0,4.0,2.0,6.0,18.0,0.216,0.0,16.0
decod24-v0_38.qasm,23.0,20.0,63.0,0.315,5.0,21.0,56.0,0.373,0.0,2.0,6.0,44.0,0.695,18.0,12.0,6.0,21.0,59.0,0.663,2.0,16.0
ising_model_10.qasm,90.0,0.0,41.0,1.04,0.0,0.0,41.0,1.398,0.0,0.0,0.0,41.0,2.803,35.0,35.0,0.0,61.0,77.0,1.878,1.0,16.0
4mod5-v0_19.qasm,16.0,19.0,57.0,0.247,7.0,21.0,41.0,0.191,0.0,0.0,0.0,25.0,0.552,13.0,8.0,6.0,18.0,42.0,0.458,1.0,16.0
4gt4-v1_74.qasm,119.0,139.0,354.0,1.61,35.0,153.0,305.0,1.091,0.0,6.0,48.0,205.0,5.902,92.0,62.0,30.0,190.0,369.0,7.052,26.0,16.0
4mod5-v1_22.qasm,11.0,3.0,19.0,0.135,3.0,5.0,20.0,0.186,0.0,1.0,2.0,16.0,0.26,9.0,3.0,4.0,12.0,26.0,0.26,0.0,16.0
4gt12-v0_87.qasm,112.0,126.0,312.0,1.671,33.0,168.0,299.0,1.378,0.0,16.0,58.0,197.0,8.11,67.0,64.0,30.0,156.0,290.0,6.22,7.0,16.0
alu-v1_29.qasm,17.0,14.0,44.0,0.317,4.0,42.0,64.0,0.28,0.0,2.0,5.0,31.0,0.524,14.0,8.0,4.0,11.0,37.0,0.532,4.0,16.0
4gt12-v0_86.qasm,116.0,129.0,309.0,2.138,32.0,166.0,304.0,1.798,0.0,18.0,62.0,201.0,8.251,76.0,59.0,31.0,162.0,303.0,6.875,8.0,16.0
alu-v1_28.qasm,18.0,16.0,45.0,0.21,4.0,46.0,67.0,0.281,0.0,1.0,1.0,27.0,0.609,12.0,10.0,5.0,24.0,52.0,0.538,4.0,16.0
4mod5-v1_23.qasm,32.0,33.0,100.0,0.498,10.0,25.0,79.0,0.458,0.0,6.0,14.0,62.0,1.439,21.0,20.0,8.0,27.0,85.0,1.425,6.0,16.0
sf_274.qasm,336.0,388.0,970.0,4.362,91.0,502.0,990.0,3.587,0.0,29.0,176.0,603.0,30.159,250.0,186.0,68.0,547.0,1020.0,24.364,52.0,16.0
4mod5-v0_18.qasm,31.0,29.0,83.0,0.357,6.0,30.0,74.0,0.363,0.0,3.0,8.0,57.0,1.168,23.0,17.0,9.0,23.0,78.0,0.86,5.0,16.0
majority_239.qasm,267.0,332.0,793.0,3.365,71.0,378.0,744.0,2.618,0.0,27.0,197.0,493.0,19.124,197.0,147.0,54.0,328.0,708.0,14.435,27.0,16.0
hwb5_53.qasm,598.0,750.0,1717.0,6.991,120.0,895.0,1660.0,5.774,0.0,45.0,319.0,1096.0,52.402,433.0,325.0,115.0,797.0,1639.0,38.969,62.0,16.0
ham7_104.qasm,149.0,170.0,418.0,2.125,42.0,213.0,428.0,1.494,0.0,22.0,65.0,272.0,9.366,114.0,71.0,42.0,181.0,378.0,7.486,11.0,16.0
rd53_135.qasm,134.0,182.0,381.0,1.424,31.0,190.0,354.0,1.485,0.0,17.0,105.0,247.0,14.958,87.0,72.0,27.0,199.0,367.0,8.141,14.0,16.0
